# slot: footwear
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

very-high stiletto pumps | 0.95 | 0.6-0.85 | leather,suede,satin
stiletto pumps | 0.85 | 0.55-0.85 | leather,suede,satin
platform stilettos | 0.80 | 0.55-0.85 | leather,suede,satin
pointed-toe pumps | 0.70 | 0.55-0.85 | leather,suede,satin
ankle-strap pumps | 0.70 | 0.55-0.85 | leather,suede,satin
high-heel pumps | 0.60 | 0.55-0.85 | leather,suede
crystal-embellished pumps | 0.65 | 0.6-0.85 | satin,leather
patent pumps | 0.55 | 0.55-0.85 | leather
almond-toe pumps | 0.45 | 0.55-0.85 | leather,suede
bow pumps | 0.45 | 0.55-0.85 | satin,leather
sleek pumps | 0.45 | 0.55-0.85 | leather,suede
mary jane pumps | 0.40 | 0.55-0.85 | leather,suede
court shoes | 0.25 | 0.55-0.8 | leather,suede
