# format: fabric_name | formality | family | weight
spandex | 0.1 | sporty | light
nylon | 0.1 | sporty | light
polyester | 0.15 | sporty | light
cotton | 0.15 | natural | medium
linen | 0.2 | natural | light
chiffon | 0.3 | luxury | light
acrylic | 0.15 | casual | medium
canvas | 0.15 | casual | medium
leather | 0.4 | luxury | medium
satin | 0.3 | luxury | light
metal | 0.5 | luxury | heavy
plastic | 0.1 | casual | light
rubber | 0.1 | sporty | medium
foam | 0.1 | sporty | medium
natural | 0.2 | natural | medium
denim | 0.2 | casual | medium
