# format: print_name | probability | compatible_slots | formality_min-formality_max
tropical floral print | 0.80 | top,bottom,outerwear | 0.0-0.2
palm leaf pattern | 0.70 | top,bottom,outerwear | 0.0-0.2
solid color-block | 0.85 | top,bottom | 0.0-0.2
ditsy daisy pattern | 0.55 | top,bottom | 0.0-0.2
striped pattern | 0.65 | top,bottom,outerwear | 0.0-0.2
animal-print accents | 0.50 | top,bottom | 0.0-0.2
gingham pattern | 0.55 | top,bottom | 0.0-0.2
neon color-block | 0.60 | top,bottom | 0.0-0.2
pastel tie-dye | 0.65 | top,bottom,outerwear | 0.0-0.2
hibiscus floral | 0.55 | top,bottom,outerwear | 0.0-0.2
checkered pattern | 0.45 | top,bottom | 0.0-0.2
abstract swirl | 0.45 | top,bottom | 0.0-0.2
