# slot: accessories
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

pearl strand necklace | 0.70 | 0.80-1.0 | metal
diamond drop earrings | 0.65 | 0.80-1.0 | metal
pearl drop earrings | 0.55 | 0.80-1.0 | metal
pearl choker | 0.50 | 0.80-1.0 | metal
diamond tennis bracelet | 0.45 | 0.85-1.0 | metal
sapphire pendant necklace | 0.40 | 0.85-1.0 | metal
emerald cocktail ring | 0.40 | 0.85-1.0 | metal
ruby drop earrings | 0.35 | 0.85-1.0 | metal
vintage cameo brooch | 0.35 | 0.80-1.0 | metal
opera-length gloves | 0.50 | 0.85-1.0 | satin,leather
pearl-button gloves | 0.30 | 0.80-1.0 | satin,leather
mother-of-pearl opera glasses | 0.25 | 0.85-1.0 | metal
folding hand fan | 0.25 | 0.80-1.0 | silk,metal
