# slot: bottom
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

mini skirt | 0.85 | 0.4-0.65 | jersey,polyester
pleated mini skirt | 0.75 | 0.4-0.65 | polyester,nylon
short A-line skirt | 0.65 | 0.4-0.65 | polyester,jersey
skater mini skirt | 0.65 | 0.4-0.65 | polyester,jersey
ruched mini skirt | 0.60 | 0.4-0.65 | polyester,spandex
wrap mini skirt | 0.55 | 0.4-0.65 | polyester,jersey
structured mini skirt | 0.55 | 0.4-0.65 | crepe,polyester
short pencil skirt | 0.50 | 0.4-0.65 | polyester,crepe
box-pleat mini skirt | 0.45 | 0.4-0.65 | polyester
draped mini skirt | 0.45 | 0.4-0.65 | jersey,polyester
sporty mini skirt | 0.55 | 0.4-0.6 | polyester,spandex
bandage mini skirt | 0.50 | 0.4-0.65 | polyester,spandex
