# slot: outerwear
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

cropped track jacket | 0.85 | 0.4-0.65 | polyester,nylon
zip bomber | 0.75 | 0.4-0.65 | nylon,polyester
fitted windbreaker | 0.65 | 0.4-0.6 | nylon
cropped puffer | 0.55 | 0.4-0.65 | nylon,polyester
moto biker jacket | 0.55 | 0.4-0.65 | leather
hooded shacket | 0.45 | 0.4-0.6 | cotton,polyester
shrunken denim jacket | 0.45 | 0.4-0.6 | denim
sporty blazer | 0.45 | 0.4-0.65 | polyester
varsity cropped jacket | 0.45 | 0.4-0.65 | wool,leather
cropped trench | 0.40 | 0.4-0.65 | cotton,polyester
