# slot: accessories
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

statement earrings | 0.75 | 0.7-0.9 | metal
drop earrings | 0.70 | 0.65-0.9 | metal
jeweled cuff bracelet | 0.65 | 0.7-0.9 | metal
sheer hosiery | 0.65 | 0.7-0.9 | nylon
crystal pendant necklace | 0.60 | 0.7-0.9 | metal
slim belt | 0.50 | 0.65-0.9 | satin,leather
gemstone ring | 0.50 | 0.65-0.9 | metal
delicate choker | 0.45 | 0.7-0.9 | metal
fine bangle | 0.50 | 0.65-0.9 | metal
elegant wrist watch | 0.40 | 0.65-0.9 | metal
beaded clutch chain | 0.40 | 0.7-0.9 | metal
