# element: foreground_element
# format: name | probability | coverage_range | texture

trolley handle in the near frame | 0.8 | 0.1-0.3 | worn plastic grip
product held up to read the label | 0.65 | 0.05-0.2 | glossy packaging
hand reaching towards a shelf | 0.6 | 0.1-0.25 | sleeve edge in frame
basket carried at the hip | 0.5 | 0.1-0.3 | plastic handle
phone with a list open | 0.5 | 0.05-0.15 | lit screen
coat sleeve crossing the frame | 0.45 | 0.1-0.25 | creased shell fabric
items piled in the trolley | 0.6 | 0.15-0.35 | mixed packaging
purse held in one hand | 0.4 | 0.05-0.15 | worn zip
shelf edge close to the camera | 0.5 | 0.1-0.3 | metal lip
carrier bag hooked on the arm | 0.4 | 0.05-0.2 | stretched handles
child's hand on the trolley | 0.35 | 0.05-0.15 | small fingers
