# format: fabric_name | formality | family | weight

# casual fabrics
cotton | 0.2 | natural | medium
denim | 0.2 | tough | heavy
knit | 0.25 | casual | medium
linen | 0.3 | natural | light

# mid-range fabrics
rayon | 0.4 | synthetic | light
gabardine | 0.5 | natural | medium
leather | 0.45 | tough | heavy
suede | 0.4 | tough | medium
wool | 0.5 | natural | heavy

# formal fabrics
velvet | 0.65 | luxury | medium
satin | 0.7 | luxury | light
silk | 0.85 | luxury | light
sequin | 0.8 | luxury | medium
faux_fur | 0.6 | luxury | heavy

# special materials
metal | 0.5 | luxury | heavy
