# element: background
# format: name | probability | coverage_range | texture

snowy alpine bowl behind hut | 1.0 | 0.5-0.9 | sweeping white open expanse
distant jagged peak skyline | 0.95 | 0.4-0.8 | white-capped rocky crests
backdrop of snow-flocked spruce | 0.95 | 0.4-0.8 | heavy frosted dark green
steep snow couloir above hut | 0.7 | 0.3-0.6 | narrow vertical white runnel
distant glacier face | 0.65 | 0.3-0.6 | layered ice mass receding
cornice ridge silhouette | 0.7 | 0.3-0.6 | wind-sculpted overhanging snow
deep snowdrift bank | 0.85 | 0.4-0.8 | sweeping white piled mass
clear cold cobalt sky | 0.85 | 0.3-0.7 | deep saturated overhead
distant lift cable line | 0.55 | 0.3-0.5 | thin sweeping curve
exposed scree slope above | 0.6 | 0.3-0.6 | grey rock dusted with snow
distant mountain warming light | 0.65 | 0.3-0.5 | tiny far-off glow
snow-laden ridge backdrop | 0.85 | 0.4-0.8 | jagged white profile
