# element: background
# format: name | probability | coverage_range | texture

gymnasium wall draped in silver fringe curtain | 0.9 | 0.7-1.0 | metallic curtain backdrop
string lights strung across ceiling beams | 1.0 | 0.6-1.0 | warm bulb canopy
step-and-repeat photo backdrop banner | 0.85 | 0.6-0.9 | printed vinyl step-repeat panel
retracted bleacher wall panel | 0.5 | 0.7-1.0 | folded wood-and-metal seating wall
rented ballroom wall with pillared molding | 0.6 | 0.7-1.0 | painted plaster column wall
draped tulle fabric ceiling canopy | 0.75 | 0.6-0.9 | billowing sheer overhead
dark gymnasium wall painted navy | 0.55 | 0.7-1.0 | matte painted cinderblock
mirrored ballroom wall reflecting lights | 0.5 | 0.6-0.9 | glass mirror panel
tall curtained window row | 0.45 | 0.6-0.9 | heavy drape over glass
school crest pennant banner high on wall | 0.4 | 0.6-0.8 | embroidered felt pennant
lit marquee theme sign backdrop | 0.65 | 0.6-0.8 | glowing letter sign
sequined curtain backdrop shimmer | 0.6 | 0.6-0.9 | glittering fabric drape
black scrim curtain masking wall | 0.5 | 0.7-1.0 | matte fabric masking wall
disco ball light wash across wall | 0.7 | 0.6-0.9 | scattered light dot pattern
balcony railing overlooking dance floor | 0.4 | 0.6-0.9 | painted metal rail overlook
