# format: fabric_name | formality | family | weight
cotton | 0.3 | natural | medium
linen | 0.3 | natural | light
denim | 0.3 | natural | medium
suede | 0.3 | animal | medium
leather | 0.3 | animal | medium
chiffon | 0.4 | synthetic | light
mesh | 0.3 | synthetic | light
gauze | 0.2 | natural | light
hemp | 0.2 | natural | medium
raw silk | 0.4 | natural | light
satin | 0.4 | synthetic | light
velvet | 0.4 | mixed | medium
spandex | 0.3 | synthetic | light
cork | 0.3 | natural | medium
metal | 0.4 | mineral | light
resin | 0.4 | synthetic | light
silk | 0.5 | natural | light
