# element: midground
# format: name | probability | coverage_range | texture

modular-collaboration table center | 1.0 | 0.3-0.6 | raw-edge wood-and-steel surface
rolling-strategy whiteboard rack | 0.95 | 0.2-0.5 | wheeled marker-board
ranked-acoustic-panel modular partition | 0.85 | 0.2-0.5 | wheeled-felt sound divider
modern espresso-machine corner station | 0.85 | 0.2-0.4 | chrome semi-pro espresso machine
modular ergonomic-chair set | 0.85 | 0.2-0.5 | mesh-back-swivel chair row
rolling-mood-board strategy stand | 0.7 | 0.2-0.5 | wheeled-fabric pinboard
scattered-sticky-note ideation cluster | 0.85 | 0.2-0.5 | wall-mounted neon-paper layer
rolling-laptop docking-cart | 0.65 | 0.2-0.4 | wheeled-laptop trolley
ranked-strategy-binder shelf set | 0.7 | 0.2-0.5 | ranked-leather case-folio shelf
communal water-and-coffee bar | 0.7 | 0.1-0.3 | stainless utility counter
ranked-tilted-presentation easel set | 0.65 | 0.2-0.4 | wheeled tilted-board easel
warm-pendant fixture cluster | 0.7 | 0.1-0.3 | softly amber overhead lamp cluster
