# element: background
# format: name | probability | coverage_range | texture

raw concrete studio wall | 1.0 | 0.6-1.0 | cool-gray bare concrete
wooden shelving unit with glazed pots | 0.95 | 0.5-1.0 | tiered timber rack with ceramics
exposed brick studio wall | 0.7 | 0.5-0.9 | aged red masonry with paint splotches
rough plaster studio wall | 0.65 | 0.5-1.0 | textured chalky white finish
steel-framed industrial windows | 0.7 | 0.4-0.8 | gridded loft glazing
hung apron rack along wall | 0.65 | 0.3-0.6 | row of clay-stained aprons
shelves of bisque-fired greenware | 0.85 | 0.4-0.9 | rows of unglazed ceramics
tools-of-trade pegboard wall | 0.7 | 0.4-0.8 | hung loops and ribs and knives
chalkboard with class schedule | 0.55 | 0.2-0.5 | dusty written agenda
wooden ware boards stacked | 0.6 | 0.3-0.7 | stained timber drying boards
glaze testing tile mosaic wall | 0.5 | 0.3-0.6 | grid of color sample chips
warm pendant studio lights | 0.7 | 0.4-0.8 | soft hung work lights
clay-dust covered industrial sink | 0.55 | 0.2-0.4 | deep stainless basin in nook
