# element: background
# format: name | probability | coverage_range | texture

white painted utility wall | 1.0 | 0.7-1.0 | smooth eggshell paint
pale blue subway tile wall | 0.8 | 0.6-1.0 | glossy ceramic squares
beadboard panel above appliances | 0.85 | 0.5-0.9 | painted vertical planking
warm grey shiplap wall | 0.75 | 0.5-0.9 | overlapped board joint
cream cabinetry above machines | 0.9 | 0.5-0.9 | painted shaker fronts
patterned floor-to-ceiling tile | 0.7 | 0.5-0.9 | small geometric pattern
painted brick utility wall | 0.65 | 0.5-0.9 | softly limewashed masonry
floating shelf wall over counter | 0.75 | 0.4-0.8 | open timber ledges
laundry sorting nook back wall | 0.7 | 0.4-0.8 | bin-fronted recess
window with sill above sink | 0.8 | 0.4-0.8 | slim painted frame
sage green painted wall | 0.7 | 0.5-0.9 | softly matte pigment
mudroom-adjacent half wall | 0.6 | 0.4-0.7 | painted wainscot panel
