# element: background
# format: name | probability | coverage_range | texture

dense pine grove backdrop | 1.0 | 0.6-1.0 | tall needled evergreen wall
distant lake reflective surface | 0.7 | 0.3-0.6 | smooth mirrored water
state-park log cabin shelter | 0.55 | 0.2-0.5 | stacked timber wall
fellow camper site clearing | 0.7 | 0.3-0.6 | dotted distant tents
dusk-orange western sky | 0.65 | 0.4-0.8 | gradient warm horizon
hardwood mixed canopy edge | 0.8 | 0.4-0.8 | dappled green leaf wall
campground gravel road bend | 0.65 | 0.3-0.6 | loose tan crushed stone
distant rolling tree-covered hills | 0.75 | 0.4-0.8 | layered blue-green ridges
weathered park sign post | 0.5 | 0.1-0.3 | painted wooden plaque
fern-covered ground patch | 0.65 | 0.3-0.6 | feathery green floor cover
campground bathhouse silhouette | 0.55 | 0.2-0.5 | small painted block building
distant evening campfire glow | 0.6 | 0.2-0.5 | warm orange flicker dot
