# format: fabric_name | formality | family | weight

wool | 0.8 | natural | medium
silk | 0.9 | natural | light
cotton | 0.6 | natural | medium
cashmere | 0.9 | natural | medium
leather | 0.7 | animal | medium
suede | 0.7 | animal | medium
linen | 0.6 | natural | light
chiffon | 0.7 | synthetic | light
polyester | 0.5 | synthetic | medium
denim | 0.4 | natural | heavy
canvas | 0.4 | natural | heavy
jersey | 0.5 | knit | medium
nylon | 0.5 | synthetic | light
acetate | 0.5 | synthetic | light
metal | 0.7 | accessories | light
