# slot: outerwear
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

long cyberpunk trench coat with neon lining | 0.75 | 0.0-0.5 | neoprene,leather
cropped bomber with holographic patches | 0.65 | 0.0-0.4 | nylon,neoprene
oversized moto with spike studs | 0.60 | 0.1-0.5 | leather,kevlar
asymmetric cape with LED edge | 0.50 | 0.2-0.6 | satin,holographic
transparent rain cape with chrome closures | 0.45 | 0.0-0.4 | plastic,neoprene
hooded parka with reactive panels | 0.55 | 0.0-0.4 | nylon,neoprene
mesh-overlay duster with neon lining | 0.45 | 0.1-0.5 | mesh,nylon
puffer vest with magnetic clasps | 0.50 | 0.0-0.4 | nylon,neoprene
biker shrug with chrome zippers | 0.45 | 0.1-0.5 | leather,neoprene
iridescent kimono jacket with wide sleeves | 0.40 | 0.2-0.6 | holographic,satin
