# element: architecture_detail
# format: name | probability | coverage_range | texture

exposed ceiling track spotlight rail | 0.95 | 0.3-0.7 | mounted directional lights
high white-painted gallery ceiling | 0.9 | 0.4-0.8 | smooth flat plaster
polished concrete gallery floor | 0.9 | 0.4-0.8 | sealed grey surface
exposed structural steel beam | 0.7 | 0.2-0.5 | painted i-beam
recessed picture rail molding | 0.7 | 0.05-0.2 | linear hanging system
floor-recessed signage marker | 0.55 | 0.05-0.15 | inset metal plaque
clerestory upper gallery window | 0.6 | 0.2-0.5 | clear horizontal pane
suspended directional sign | 0.55 | 0.05-0.15 | hanging printed flag
flush wall painting label tag | 0.85 | 0.02-0.06 | small printed plaque
columnar partition divider | 0.55 | 0.1-0.3 | freestanding white wall
