# format: fabric_name | formality | family | weight

# festival basics
denim | 0.2 | tough | heavy
cotton | 0.15 | natural | light
crochet | 0.15 | casual | light
mesh | 0.1 | casual | light
lace | 0.3 | luxury | light

# festival specials
fringe | 0.15 | casual | light
sequin | 0.3 | luxury | light
tie-dye | 0.1 | casual | light

# structured
leather | 0.25 | tough | medium
suede | 0.25 | tough | medium
rubber | 0.05 | sporty | medium

# accessories
metal | 0.2 | accessory | light
plastic | 0.05 | sporty | light
