# format: text_content | probability | compatible_slots | font_hint
"FREE SPIRIT" | 0.25 | top | psychedelic font
"PEACE" | 0.2 | top,headwear | handwritten script
"WILD" | 0.2 | top | tie-dye lettering
"WANDER" | 0.15 | top | boho lettering
"MAGIC" | 0.2 | top | neon font
"COSMIC" | 0.15 | top | psychedelic font
"DANCE" | 0.2 | top | handwritten script
"TRIBE" | 0.15 | top,headwear | boho lettering
"UNITY" | 0.1 | top | tie-dye lettering
"RADIANCE" | 0.15 | top | neon font
"STARLIGHT" | 0.2 | top | celestial script
"ETHEREAL" | 0.15 | top | flowing cursive
"BLOOM" | 0.25 | top | dreamy lettering
"MOONCHILD" | 0.2 | top,headwear | celestial script
"STARDUST" | 0.15 | top | sparkle font
"AURORA" | 0.2 | top | flowing cursive
"CELESTIAL" | 0.1 | top | mystical script
"EUPHORIA" | 0.2 | top | dreamy lettering
"MYSTIC" | 0.15 | top | mystical script
"SACRED" | 0.1 | top | celestial script
