# format: fabric_name | formality | family | weight
spandex | 0.1 | sporty | light
nylon | 0.1 | sporty | light
polyester | 0.15 | sporty | light
velvet | 0.3 | luxury | medium
velour | 0.2 | casual | medium
foil | 0.3 | luxury | light
mesh | 0.1 | sporty | light
cotton | 0.15 | natural | medium
fleece | 0.1 | casual | medium
acrylic | 0.15 | casual | medium
satin | 0.3 | luxury | light
canvas | 0.15 | casual | medium
leather | 0.4 | luxury | medium
metal | 0.5 | luxury | heavy
plastic | 0.1 | casual | light
rubber | 0.1 | sporty | medium
