# element: props
# format: name | probability | coverage_range | texture

crystal vase floral stems | 0.85 | 0.05-0.15 | tall glass tropical arrangement
brass luggage-cart wheel detail | 0.6 | 0.02-0.08 | polished small caster
decorative throw-pillow set | 0.6 | 0.05-0.1 | patterned silk cushions
brass concierge desk-bell | 0.65 | 0.02-0.05 | small polished call bell
porcelain orchid arrangement | 0.6 | 0.05-0.1 | delicate potted bloom accent
glass water-carafe set | 0.55 | 0.02-0.08 | chilled clear pitcher pair
leather-strap luggage tag | 0.55 | 0.02-0.05 | tan buckled label
gilded picture-frame pair | 0.5 | 0.05-0.1 | ornate wall-mounted art
scented candle glass-jar | 0.5 | 0.02-0.05 | small flickering votive
brass luggage-trolley strap | 0.5 | 0.02-0.05 | leather buckled tie
folded resort welcome-brochure | 0.5 | 0.02-0.05 | glossy printed pamphlet
folded fresh-towel stack | 0.45 | 0.02-0.08 | rolled white spa linen
tasseled velvet key-fob | 0.4 | 0.02-0.05 | small dangling room key
polished bell-desk nameplate | 0.4 | 0.02-0.05 | small engraved brass plate
