# element: midground
# format: name | probability | coverage_range | texture

ticket booth window row | 1.0 | 0.4-0.8 | varnished wood with brass trim
turnstile entry gate cluster | 0.95 | 0.4-0.7 | brushed steel rotating bars
bag check security table | 0.7 | 0.3-0.6 | black molded plastic surface
themed character meet area | 0.8 | 0.3-0.7 | painted plaster character props
cobblestone plaza paving | 0.85 | 0.5-0.9 | irregular grey set stones
dancing fountain water jets | 0.6 | 0.3-0.6 | sparkling arched water plumes
flower-bordered curved path | 0.75 | 0.4-0.7 | mulched bedded blooms
crowd of arriving families | 0.9 | 0.5-0.9 | diverse summer-clothed figures
souvenir balloon vendor cart | 0.7 | 0.2-0.5 | tethered helium balloon mass
park map information board | 0.65 | 0.2-0.5 | laminated graphic panel
ornate gas lamp post line | 0.7 | 0.3-0.6 | black wrought iron stems
themed planters topiary shapes | 0.6 | 0.3-0.6 | trimmed boxwood character forms
