# element: foreground_element
# format: name | probability | coverage_range | texture

paddleboard deck surface | 1.0 | 0.3-0.6 | textured EVA traction pad
paddle shaft entering water | 0.95 | 0.1-0.3 | smooth carbon tube
splash droplets on board | 0.85 | 0.05-0.2 | scattered glistening beads
wet bare feet on traction pad | 0.85 | 0.1-0.3 | pebbled foam surface
trailing leash cord | 0.7 | 0.05-0.2 | coiled bright urethane
small lake wave lap | 0.75 | 0.1-0.3 | gentle curling lip
ripple pattern on water | 0.95 | 0.2-0.5 | concentric expanding rings
floating leaf or pollen | 0.55 | 0.05-0.2 | scattered surface debris
sunlight glint on wet rail | 0.7 | 0.05-0.2 | bright reflective sheen
clear shallow water below | 0.75 | 0.1-0.3 | translucent pale green
