# element: architecture_detail
# format: name | probability | coverage_range | texture

exposed open-grid ceiling | 0.85 | 0.3-0.7 | painted ductwork lattice
suspended fluorescent troffer light | 0.9 | 0.2-0.5 | grid panel fixture
exposed concrete floor | 0.85 | 0.4-0.8 | sealed grey surface
recessed industrial cable tray | 0.7 | 0.1-0.3 | overhead utility rail
ceiling-mounted projector unit | 0.75 | 0.05-0.15 | small angled box
exposed conduit pipe run | 0.7 | 0.2-0.5 | painted metal line
flush ceiling smoke detector | 0.6 | 0.02-0.06 | small white disc
floor power outlet pop-up | 0.85 | 0.05-0.15 | inset metal hatch
glass door with frosted band | 0.65 | 0.2-0.5 | clear panel with stripe
exposed structural i-beam | 0.6 | 0.2-0.5 | painted steel beam
