# element: background
# format: name | probability | coverage_range | texture

rectangle pool with lane ropes half in | 1.0 | 0.4-0.8 | chlorine-blue water
lifeguard chair with an umbrella | 0.8 | 0.15-0.35 | white tower
concession window under an awning | 0.55 | 0.15-0.35 | menu board prices
chain-link around the deck | 0.65 | 0.2-0.45 | towel-draped sections
diving board over the deep end | 0.6 | 0.1-0.3 | sandpaper tread
kiddie pool fenced separately | 0.55 | 0.2-0.4 | mushroom sprinkler
locker building of painted block | 0.55 | 0.2-0.45 | men's and women's arrows
flags strung over the lap lanes | 0.5 | 0.1-0.3 | backstroke pennants
grass sunbathing bank | 0.55 | 0.25-0.5 | towel patchwork
pump house humming | 0.4 | 0.1-0.25 | chemical smell
slide into the shallow end | 0.5 | 0.1-0.3 | water sheeting
