# format: fabric_name | formality | family | weight
jersey | 0.2 | natural | light
fleece | 0.15 | natural | medium
pique | 0.25 | natural | medium
pima | 0.3 | natural | light
poplin | 0.35 | natural | light
broadcloth | 0.4 | natural | medium
twill | 0.4 | natural | medium
denim | 0.3 | natural | medium
corduroy | 0.3 | casual | medium
flannel | 0.45 | natural | medium
gabardine | 0.55 | natural | medium
worsted | 0.65 | natural | medium
hopsack | 0.6 | natural | medium
tweed | 0.6 | natural | heavy
melton | 0.55 | natural | heavy
wool | 0.5 | natural | heavy
merino | 0.5 | luxury | medium
cashmere | 0.8 | luxury | medium
camelhair | 0.7 | luxury | medium
silk | 0.85 | luxury | light
grosgrain | 0.5 | natural | medium
leather | 0.45 | tough | heavy
suede | 0.4 | tough | medium
canvas | 0.2 | natural | medium
nylon | 0.2 | synthetic | light
polyester | 0.2 | synthetic | light
felt | 0.4 | natural | medium
metal | 0.5 | luxury | heavy
