# format: text_content | probability | compatible_slots | font_hint
"IN MEMORIAM" | 0.25 | top,outerwear | engraved blackletter
"REQUIEM" | 0.2 | top | ornate calligraphy
"SORROW" | 0.2 | top | ornate calligraphy
"LACRIMOSA" | 0.15 | top | gothic calligraphy
"ETERNAL REST" | 0.2 | top,accessories | engraved blackletter
"MEMENTO MORI" | 0.25 | top,outerwear | classical Latin script
"DEPARTED" | 0.15 | top | mourning script
"SHADOWED" | 0.15 | top | gothic font
"WEEPING" | 0.15 | top | ornate calligraphy
"GRIEVING" | 0.15 | top | mourning script
