# element: midground
# format: name | probability | coverage_range | texture

grill lid open with smoke | 0.7 | 0.15-0.35 | flare-up haze
cooler with the lid ajar | 0.6 | 0.1-0.25 | ice and cans
citronella torches staked | 0.45 | 0.05-0.2 | bamboo poles
kiddie pool on the lawn | 0.45 | 0.15-0.3 | grass clippings floating
lawn chairs unfolded in a loose circle | 0.6 | 0.2-0.4 | woven straps
bird feeder on a shepherd hook | 0.5 | 0.05-0.15 | squirrel-bent pole
tomato plants in buckets | 0.5 | 0.1-0.25 | staked and tied
sprinkler mid-arc | 0.45 | 0.1-0.3 | ticking spray
dog patrolling the fence line | 0.45 | 0.1-0.25 | nose down
bug zapper hanging from the eave | 0.4 | 0.03-0.1 | violet glow
trampoline with a safety net | 0.45 | 0.2-0.4 | anchor straps
