# slot: top
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

structured high-collar ceremonial tunic with chrome accents | 0.70 | 0.6-1.0 | satin,holographic
iridescent draped robe top with floating shoulder pieces | 0.65 | 0.6-1.0 | holographic,satin
sculpted chest panel with fiber-optic detailing | 0.60 | 0.5-0.9 | metal_mesh,satin
asymmetric ceremonial sash shirt with chrome clasps | 0.55 | 0.5-0.9 | satin,holographic
high-neck embassy tunic with embroidery | 0.55 | 0.6-1.0 | satin,silk
sheer iridescent overlay shirt with chrome boning | 0.50 | 0.5-0.9 | holographic,mesh
fitted ambassador tunic with crest | 0.65 | 0.5-0.9 | satin,nylon
jeweled mandarin collar shirt with floating gem cluster | 0.45 | 0.6-1.0 | satin,metal_mesh
flowing wrap shirt with chrome shoulder ring | 0.55 | 0.5-0.9 | satin,silk
draped one-shoulder ceremonial tunic | 0.55 | 0.5-1.0 | satin,holographic
sheer caped shirt with embroidered glyphs | 0.45 | 0.5-0.9 | silk,mesh
