# slot: outerwear
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

floor-length hooded cloak with iridescent fabric | 0.65 | 0.5-1.0 | holographic,satin
structured embassy blazer with chrome lapels | 0.55 | 0.6-1.0 | satin,silk
ceremonial cape with embroidered crest | 0.55 | 0.6-1.0 | silk,satin
sheer chrome-edged opera coat | 0.45 | 0.6-1.0 | satin,mesh
asymmetric drape jacket with chrome clasp | 0.50 | 0.5-0.9 | satin,holographic
floating shoulder mantle with chrome ring | 0.45 | 0.6-1.0 | satin,metal_mesh
long iridescent duster with embroidered hem | 0.45 | 0.5-0.9 | holographic,silk
ceremonial robe with chrome shoulder ring | 0.55 | 0.5-0.9 | satin,silk
short embroidered jacket with chrome buttons | 0.50 | 0.5-0.9 | satin,silk
floor-grazing chiffon overlay coat | 0.45 | 0.5-0.9 | silk,mesh
