# slot: footwear
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

very-high stiletto pumps | 0.90 | 0.65-0.9 | suede,patent
stiletto pumps | 0.85 | 0.65-0.9 | suede,patent
pointed-toe pumps | 0.80 | 0.65-0.9 | suede,patent
crystal-embellished pumps | 0.65 | 0.65-0.9 | suede,charmeuse
platform stilettos | 0.65 | 0.65-0.9 | suede,patent
high-heel pumps | 0.70 | 0.65-0.9 | suede,patent
classic pumps | 0.65 | 0.65-0.9 | suede,patent
ankle-strap pumps | 0.60 | 0.65-0.9 | suede,charmeuse
almond-toe pumps | 0.55 | 0.65-0.85 | suede,patent
sleek pumps | 0.55 | 0.65-0.9 | suede,patent
court shoes | 0.45 | 0.65-0.85 | suede,patent
patent pumps | 0.50 | 0.65-0.9 | leather
