# format: fabric_name | formality | family | weight

silk | 0.95 | natural | light
charmeuse | 0.9 | synthetic | light
satin | 0.85 | synthetic | light
crepe | 0.8 | synthetic | medium
chiffon | 0.8 | synthetic | light
tulle | 0.85 | synthetic | light
polyester | 0.6 | synthetic | medium
cashmere | 0.9 | natural | medium
wool | 0.8 | natural | medium
leather | 0.75 | animal | medium
suede | 0.75 | animal | medium
patent | 0.8 | animal | medium
nylon | 0.55 | synthetic | light
metal | 0.8 | accessories | light
