# slot: accessories
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

sheer hosiery | 0.80 | 0.75-0.95 | nylon
pearl earrings | 0.75 | 0.75-0.95 | metal
delicate necklace | 0.70 | 0.7-0.95 | metal
stud earrings | 0.65 | 0.7-0.95 | metal
classic watch | 0.65 | 0.7-0.95 | metal,leather
fine neck scarf | 0.55 | 0.75-0.95 | silk
slim belt | 0.55 | 0.7-0.9 | leather
signet ring | 0.50 | 0.7-0.95 | metal
diamond stud earrings | 0.50 | 0.8-0.95 | metal
fine bracelet | 0.50 | 0.7-0.95 | metal
pocket square | 0.35 | 0.8-0.95 | silk,satin
