# slot: footwear
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

very-high stiletto pumps | 0.85 | 0.75-0.95 | leather,suede,satin
stiletto pumps | 0.80 | 0.7-0.95 | leather,suede,satin
pointed-toe pumps | 0.80 | 0.7-0.95 | leather,suede
high-heel pumps | 0.75 | 0.7-0.95 | leather,suede
classic pumps | 0.70 | 0.7-0.9 | leather,suede
sleek pumps | 0.60 | 0.7-0.95 | leather,satin
patent pumps | 0.60 | 0.7-0.95 | leather
ankle-strap pumps | 0.55 | 0.7-0.95 | leather,suede,satin
platform stilettos | 0.55 | 0.75-0.95 | leather,satin
bow pumps | 0.50 | 0.7-0.9 | leather,satin
almond-toe pumps | 0.55 | 0.7-0.9 | leather,suede
crystal-embellished pumps | 0.40 | 0.8-0.95 | satin,leather
