# slot: bottom
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

mini skirt | 0.85 | 0.7-0.95 | wool,silk,leather,tweed
short pencil skirt | 0.80 | 0.75-0.95 | wool,crepe,silk
structured mini skirt | 0.70 | 0.75-0.95 | wool,leather,crepe
boucle mini skirt | 0.65 | 0.75-0.95 | wool
short A-line skirt | 0.60 | 0.7-0.95 | wool,silk,tweed
wrap mini skirt | 0.55 | 0.7-0.9 | silk,wool,crepe
ruched mini skirt | 0.55 | 0.7-0.95 | satin,silk
pleated mini skirt | 0.55 | 0.7-0.9 | silk,chiffon,wool
box-pleat mini skirt | 0.50 | 0.7-0.9 | wool
mock croc mini skirt | 0.45 | 0.7-0.95 | leather
draped mini skirt | 0.45 | 0.75-0.95 | silk,satin
