# slot: top
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

draped blouse | 0.85 | 0.7-0.95 | silk,chiffon
tucked-in blouse | 0.80 | 0.7-0.95 | silk,chiffon
fitted shell top | 0.75 | 0.7-0.95 | silk,crepe
slip camisole | 0.70 | 0.65-0.9 | silk,satin
fine-gauge pullover | 0.70 | 0.7-0.95 | cashmere,wool
ribbed turtleneck | 0.65 | 0.7-0.9 | cashmere,wool
mock-neck shell | 0.65 | 0.7-0.9 | crepe,silk
sleeveless shell | 0.60 | 0.7-0.95 | silk,crepe
bow-neck blouse | 0.55 | 0.75-0.95 | silk,chiffon
fitted bodysuit | 0.50 | 0.65-0.9 | jersey,polyester
sheer-panel blouse | 0.50 | 0.7-0.9 | chiffon,silk
crewneck sweater | 0.55 | 0.7-0.9 | cashmere
structured corset top | 0.45 | 0.7-0.9 | satin
