# format: fabric_name | formality | family | weight

# casual fabrics
cotton | 0.2 | natural | medium
linen | 0.4 | natural | light
flannel | 0.3 | natural | medium
knit | 0.25 | casual | medium

# mid-range fabrics
suede | 0.4 | tough | medium
leather | 0.45 | tough | heavy
wool | 0.5 | natural | heavy
tweed | 0.55 | natural | heavy
herringbone | 0.5 | natural | heavy

# formal fabrics
silk | 0.85 | luxury | light
worsted | 0.65 | luxury | medium
chalkstripe | 0.7 | luxury | medium
satin | 0.75 | luxury | light

# special materials
metal | 0.5 | luxury | heavy
