# slot: accessories
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

sheer hosiery | 0.65 | 0.6-0.85 | nylon
pearl drop earrings | 0.70 | 0.6-0.85 | metal
crystal drop earrings | 0.65 | 0.6-0.85 | metal
delicate gold chain | 0.65 | 0.6-0.85 | metal
diamond stud earrings | 0.55 | 0.6-0.85 | metal
slim cuff bracelet | 0.50 | 0.6-0.85 | metal
ribbon choker | 0.50 | 0.6-0.85 | satin
fine neck scarf | 0.40 | 0.6-0.85 | silk
slim belt | 0.45 | 0.6-0.85 | leather
cocktail ring | 0.45 | 0.6-0.85 | metal
hoop earrings | 0.50 | 0.6-0.85 | metal
