# slot: footwear
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

bow pumps | 0.85 | 0.6-0.85 | satin,leather
platform stilettos | 0.80 | 0.6-0.85 | leather,suede,satin
pointed-toe pumps | 0.75 | 0.6-0.85 | leather,suede,satin
stiletto pumps | 0.75 | 0.6-0.85 | leather,suede,satin
very-high stiletto pumps | 0.70 | 0.65-0.85 | leather,suede,satin
ankle-strap pumps | 0.70 | 0.6-0.85 | leather,suede,satin
crystal-embellished pumps | 0.65 | 0.6-0.85 | satin,leather
high-heel pumps | 0.55 | 0.6-0.85 | leather,suede
mary jane pumps | 0.55 | 0.6-0.85 | leather,suede
almond-toe pumps | 0.50 | 0.6-0.85 | leather,suede
patent pumps | 0.50 | 0.6-0.85 | leather
sleek pumps | 0.45 | 0.6-0.85 | leather,suede
court shoes | 0.30 | 0.6-0.85 | leather,suede
