# format: print_name | probability | compatible_slots | formality_min-formality_max
school mascot graphic | 0.85 | top,outerwear | 0.0-0.2
team logo print | 0.80 | top,outerwear,bag | 0.0-0.2
varsity chevron | 0.75 | top,bottom,outerwear | 0.0-0.2
pleated stripe | 0.70 | bottom | 0.0-0.2
glitter foil graphic | 0.60 | top,outerwear | 0.0-0.2
megaphone graphic | 0.55 | top,outerwear | 0.0-0.2
solid color-block | 0.70 | top,bottom | 0.0-0.2
star pattern | 0.55 | top,bottom,outerwear | 0.0-0.2
sequin accents | 0.45 | top,outerwear | 0.0-0.2
sparkle gradient | 0.50 | top,outerwear | 0.0-0.2
