# slot: bottom
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

circle mini skirt | 0.90 | 0.5-0.8 | cotton,rayon
swing mini skirt | 0.85 | 0.5-0.8 | cotton,rayon
short A-line skirt | 0.80 | 0.5-0.8 | cotton,wool,rayon
pleated mini skirt | 0.70 | 0.5-0.8 | rayon,polyester
skater mini skirt | 0.65 | 0.5-0.75 | cotton,jersey
box-pleat mini skirt | 0.55 | 0.55-0.8 | wool,polyester
shift mini skirt | 0.55 | 0.55-0.8 | rayon,polyester
wrap mini skirt | 0.55 | 0.5-0.8 | cotton,rayon
structured mini skirt | 0.50 | 0.55-0.8 | wool,crepe
mini skirt | 0.65 | 0.5-0.8 | cotton,rayon,wool
