# format: fabric_name | formality | family | weight

cotton | 0.5 | natural | medium
rayon | 0.55 | synthetic | light
wool | 0.7 | natural | medium
cashmere | 0.85 | natural | medium
silk | 0.85 | natural | light
satin | 0.75 | synthetic | light
polyester | 0.5 | synthetic | medium
crepe | 0.7 | synthetic | medium
leather | 0.7 | animal | medium
suede | 0.7 | animal | medium
jersey | 0.5 | knit | medium
nylon | 0.5 | synthetic | light
metal | 0.7 | accessories | light
pearl | 0.75 | accessories | light
acrylic | 0.5 | synthetic | light
straw | 0.4 | natural | light
sequin | 0.75 | luxury | medium
faux_fur | 0.7 | luxury | heavy
felt | 0.5 | natural | medium
