# slot: footwear
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

classic pumps | 0.90 | 0.5-0.8 | leather,suede
mary jane pumps | 0.85 | 0.5-0.8 | leather,suede
bow pumps | 0.75 | 0.5-0.8 | leather,satin
ankle-strap pumps | 0.70 | 0.5-0.8 | leather,suede
almond-toe pumps | 0.65 | 0.5-0.8 | leather,suede
mid-heel pumps | 0.65 | 0.5-0.8 | leather,suede
court shoes | 0.60 | 0.5-0.8 | leather,suede
stiletto pumps | 0.55 | 0.55-0.8 | leather,suede
high-heel pumps | 0.55 | 0.55-0.8 | leather,suede
patent pumps | 0.55 | 0.55-0.8 | leather
sleek pumps | 0.50 | 0.55-0.8 | leather,suede
pointed-toe pumps | 0.50 | 0.55-0.8 | leather,suede
