# slot: accessories
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

seamed stockings | 0.70 | 0.5-0.8 | nylon
pearl necklace | 0.65 | 0.5-0.8 | metal
pearl stud earrings | 0.60 | 0.5-0.8 | metal
slim waist belt | 0.65 | 0.5-0.8 | leather
fine neck scarf | 0.55 | 0.5-0.8 | silk
cat-eye sunglasses | 0.50 | 0.5-0.8 | acrylic
white gloves | 0.40 | 0.55-0.8 | cotton
charm bracelet | 0.45 | 0.5-0.8 | metal
brooch pin | 0.40 | 0.5-0.8 | metal
bangle bracelet | 0.40 | 0.5-0.8 | metal
delicate earrings | 0.50 | 0.5-0.8 | metal
