# slot: top
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

DS9 security duty top with gold shoulders | 0.95 | 0.2-0.8 | spandex,lycra
gray-shouldered uniform with gold undershirt | 0.85 | 0.3-0.8 | spandex,lycra
chief of security tactical jumpsuit top | 0.80 | 0.2-0.7 | spandex,lycra
station security duty top with comm badge | 0.75 | 0.3-0.8 | spandex,lycra
Bajoran militia liaison top in maroon | 0.50 | 0.3-0.7 | wool,cotton
DS9 dress uniform tunic with operations gold | 0.55 | 0.7-1.0 | satin,lycra
constable security top with reinforced shoulders | 0.70 | 0.2-0.7 | spandex,lycra
field tactical pullover for raids | 0.55 | 0.0-0.5 | nylon,cotton
operations gold turtleneck under uniform | 0.60 | 0.2-0.7 | jersey,cotton
formal security officer tunic with rank pip strip | 0.45 | 0.7-1.0 | satin,lycra
station promenade duty top with side flap | 0.65 | 0.3-0.8 | spandex,lycra
runabout pilot duty top with arm patch | 0.55 | 0.2-0.7 | spandex,lycra
