# slot: footwear
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

chunky sneakers | 0.85 | 0.1-0.3 | mesh,nylon
retro runners | 0.60 | 0.1-0.3 | mesh,nylon
high-top sneakers | 0.55 | 0.1-0.3 | canvas,cotton
low-top sneakers | 0.55 | 0.1-0.2 | mesh,canvas
platform sneakers | 0.45 | 0.1-0.3 | nylon,mesh
slip-on sneakers | 0.45 | 0.1-0.2 | canvas,cotton
running shoes | 0.50 | 0.1-0.2 | mesh,nylon
court trainers | 0.40 | 0.1-0.3 | canvas,cotton
retro basketball sneakers | 0.35 | 0.1-0.3 | leather,mesh
ankle socks | 0.75 | 0.1-0.2 | cotton
crew socks | 0.65 | 0.1-0.2 | cotton
shower slides | 0.30 | 0.1-0.2 | rubber
