# format: fabric_name | formality | family | weight
spandex | 0.1 | sporty | light
lycra | 0.1 | sporty | light
nylon | 0.1 | sporty | light
polyester | 0.15 | sporty | light
mesh | 0.1 | sporty | light
powernet | 0.1 | sporty | light
velvet | 0.2 | sporty | medium
mystique | 0.15 | sporty | light
holographic | 0.15 | sporty | light
cotton | 0.15 | natural | medium
terry | 0.15 | natural | medium
fleece | 0.1 | casual | medium
canvas | 0.15 | casual | medium
satin | 0.3 | luxury | light
leather | 0.4 | luxury | medium
suede | 0.35 | luxury | medium
metal | 0.5 | luxury | heavy
plastic | 0.1 | casual | light
rubber | 0.1 | sporty | medium
foam | 0.1 | sporty | medium
denim | 0.2 | casual | medium
wool | 0.3 | natural | heavy
