# format: fabric_name | formality | family | weight

sequin | 0.5 | embellished | light
satin | 0.6 | synthetic | light
velvet | 0.6 | natural | medium
tulle | 0.5 | synthetic | light
metallic | 0.5 | synthetic | light
mesh | 0.4 | synthetic | light
chiffon | 0.5 | synthetic | light
faux_fur | 0.5 | synthetic | heavy
faux_leather | 0.5 | synthetic | medium
suede | 0.5 | natural | medium
linen | 0.4 | natural | light
cotton | 0.3 | natural | light
polyester | 0.3 | synthetic | light
jersey | 0.3 | synthetic | light
denim | 0.3 | natural | medium
beaded | 0.5 | embellished | light
feather | 0.5 | embellished | light
wicker | 0.3 | natural | light
canvas | 0.2 | natural | medium
metal | 0.5 | accessories | light
