# fabric database
# format: fabric_name | formality | family | weight

cotton | 0.3 | natural | medium
denim | 0.3 | natural | heavy
jersey | 0.2 | knit | light
knit | 0.3 | knit | medium
canvas | 0.2 | natural | heavy
polyester | 0.2 | synthetic | medium
nylon | 0.2 | synthetic | light
linen | 0.4 | natural | light
wool | 0.4 | natural | medium
leather | 0.4 | animal | medium
suede | 0.4 | animal | medium
satin | 0.5 | synthetic | light
pearl | 0.5 | natural | light
plastic | 0.1 | synthetic | light
metal | 0.3 | accessories | light
