# element: midground
# format: name | probability | coverage_range | texture

pale-oak minimalist writing desk | 1.0 | 0.3-0.5 | smooth blonde wood top
low-slung scandi lounge armchair | 0.85 | 0.2-0.5 | natural-linen upholstery
tall fiddle-leaf fig in cement pot | 0.85 | 0.2-0.4 | broad glossy green leaves
single sculptural pendant-light fixture | 0.95 | 0.1-0.3 | minimal-line designer pendant
low-pale-oak side-table | 0.75 | 0.1-0.3 | cone-leg minimalist side
light-grey wool throw on chair | 0.7 | 0.05-0.2 | softly piled chunky-knit textile
low-pile cream-tone area rug | 0.85 | 0.2-0.5 | softly brushed wool weave
white open-shelf bookcase | 0.75 | 0.2-0.5 | thin-edge open scandi-shelf
hand-thrown ceramic pot pair | 0.7 | 0.05-0.2 | matte clay-paired vessel
simple framed line-drawing print | 0.65 | 0.1-0.3 | thin-edge minimalist print
warm wool-felt floor cushion | 0.55 | 0.05-0.2 | softly padded round cushion
low-cone scandinavian lamp | 0.6 | 0.05-0.2 | minimal-cone-shade base lamp
