# slot: footwear
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

platform stilettos | 0.90 | 0.5-0.85 | leather,suede
ankle-strap pumps | 0.85 | 0.5-0.85 | leather,suede
very-high stiletto pumps | 0.75 | 0.55-0.85 | leather,suede
crystal-embellished pumps | 0.65 | 0.55-0.85 | satin,leather
pointed-toe pumps | 0.65 | 0.5-0.85 | leather,suede
high-heel pumps | 0.65 | 0.5-0.85 | leather,suede
stiletto pumps | 0.60 | 0.5-0.85 | leather,suede
classic pumps | 0.55 | 0.5-0.8 | leather,suede
patent pumps | 0.55 | 0.5-0.85 | leather
bow pumps | 0.45 | 0.5-0.85 | satin,leather
mid-heel pumps | 0.45 | 0.5-0.8 | leather,suede
sleek pumps | 0.45 | 0.5-0.8 | leather,suede
