# slot: footwear
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

classic pumps | 0.85 | 0.45-0.7 | leather,suede
stiletto pumps | 0.80 | 0.45-0.7 | leather,satin
patent pumps | 0.75 | 0.45-0.7 | leather
ankle-strap pumps | 0.75 | 0.45-0.7 | leather,suede
pointed-toe pumps | 0.70 | 0.45-0.7 | leather,suede
almond-toe pumps | 0.65 | 0.45-0.7 | leather,suede
high-heel pumps | 0.65 | 0.5-0.7 | leather,satin
bow pumps | 0.60 | 0.45-0.7 | satin,leather
sleek pumps | 0.60 | 0.45-0.7 | leather,suede
court shoes | 0.55 | 0.45-0.7 | leather,suede
mary jane pumps | 0.50 | 0.45-0.7 | leather,suede
platform stilettos | 0.50 | 0.5-0.7 | leather,suede
crystal-embellished pumps | 0.45 | 0.55-0.7 | satin
