# element: architecture_detail
# format: name | probability | coverage_range | texture

reinforced steel ceiling panels | 0.85 | 0.2-0.5 | smoothly bolted plate metal
recessed jewelry display lighting | 0.95 | 0.05-0.15 | softly diffused crisp glow
seamless polished concrete floor | 0.85 | 0.5-0.85 | smoothly polished grey aggregate
backlit cove ceiling perimeter | 0.85 | 0.1-0.3 | softly diffused glowing recess
biometric scanner panel inset | 0.95 | 0.05-0.1 | smoothly polished black glass
deep parquet wood floor | 0.65 | 0.4-0.8 | richly grained patterned wood
camera dome ceiling fixture | 0.85 | 0.02-0.05 | smoothly polished black dome
mirrored ceiling center panel | 0.55 | 0.2-0.4 | softly polished reflective glass
deep bronze skirting profile | 0.7 | 0.05-0.15 | softly polished warm metal trim
panic button wall mounted | 0.75 | 0.02-0.05 | smoothly enameled red plastic
