# format: fabric_name | formality | family | weight

silk | 0.7 | natural | light
satin | 0.6 | synthetic | light
chiffon | 0.5 | synthetic | light
velvet | 0.6 | natural | medium
jersey | 0.3 | synthetic | light
polyester | 0.3 | synthetic | light
wool | 0.5 | natural | medium
linen | 0.4 | natural | light
leather | 0.5 | natural | medium
suede | 0.5 | natural | medium
beaded | 0.5 | embellished | light
knit | 0.3 | natural | medium
modal | 0.4 | synthetic | light
canvas | 0.2 | natural | medium
jute | 0.3 | natural | medium
metal | 0.5 | accessories | light
