# format: fabric_name | formality | family | weight

wool | 0.8 | natural | medium
cashmere | 0.9 | natural | medium
silk | 0.9 | natural | light
cotton | 0.6 | natural | medium
crepe | 0.7 | synthetic | medium
polyester | 0.5 | synthetic | medium
satin | 0.8 | synthetic | light
leather | 0.7 | animal | medium
suede | 0.7 | animal | medium
jersey | 0.5 | knit | medium
spandex | 0.3 | synthetic | light
denim | 0.4 | natural | heavy
canvas | 0.4 | natural | heavy
nylon | 0.5 | synthetic | light
metal | 0.7 | accessories | light
