# slot: top
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

slip camisole | 0.85 | 0.5-0.75 | polyester,satin
clean fitted shell | 0.80 | 0.5-0.75 | crepe,polyester
sleeveless shell | 0.75 | 0.5-0.75 | silk,polyester
fine-knit pullover | 0.70 | 0.5-0.75 | cashmere,wool
ribbed tank | 0.65 | 0.5-0.7 | cotton,spandex
mock-neck shell | 0.65 | 0.5-0.75 | crepe,polyester
fitted bodysuit | 0.60 | 0.5-0.75 | jersey,polyester
plain crop top | 0.60 | 0.5-0.7 | cotton,jersey
strappy camisole | 0.55 | 0.5-0.75 | silk,satin
tucked-in blouse | 0.55 | 0.5-0.75 | silk,cotton
sleeveless cashmere shell | 0.50 | 0.5-0.75 | wool
minimal tank top | 0.55 | 0.5-0.7 | cotton,jersey
ribbed turtleneck | 0.45 | 0.55-0.75 | wool,cotton
