# slot: outerwear
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

minimal blazer | 0.85 | 0.55-0.75 | wool,polyester
clean trench coat | 0.70 | 0.5-0.75 | cotton,polyester
fitted cardigan | 0.65 | 0.5-0.75 | wool,cashmere
sleek long coat | 0.60 | 0.55-0.75 | wool
shrunken denim jacket | 0.45 | 0.5-0.7 | denim
short trench | 0.55 | 0.5-0.75 | cotton,polyester
fine-knit cardigan | 0.55 | 0.5-0.75 | cashmere,wool
clean bomber | 0.45 | 0.5-0.7 | nylon,polyester
tailored vest | 0.50 | 0.55-0.75 | wool,polyester
cropped clean jacket | 0.50 | 0.5-0.75 | wool,polyester
