# format: fabric_name | formality | family | weight

# pilates fabrics
nylon | 0.15 | sporty | light
spandex | 0.1 | sporty | light
polyester | 0.2 | sporty | light
mesh | 0.1 | sporty | light
cotton | 0.2 | natural | medium
fleece | 0.1 | casual | medium
modal | 0.2 | natural | light
canvas | 0.2 | natural | medium
foam | 0.1 | sporty | light
rubber | 0.1 | sporty | medium
satin | 0.4 | luxury | light
none | 0.0 | natural | light

# special materials
metal | 0.5 | luxury | heavy
resin | 0.3 | tech | light
