# element: midground
# format: name | probability | coverage_range | texture

commercial squat-rack station | 1.0 | 0.3-0.6 | heavy-gauge powder-coated frame
loaded competition barbell on platform | 0.95 | 0.2-0.5 | knurled steel bar with plates
dumbbell rack with rubber hex weights | 0.95 | 0.3-0.6 | stepped tier of black hex heads
padded flat bench-press station | 0.9 | 0.2-0.4 | vinyl-topped commercial bench
cable-machine pulley column | 0.8 | 0.2-0.5 | twin-stack adjustable cable tower
Olympic deadlift platform with bumpers | 0.85 | 0.2-0.4 | wood-and-rubber lifting square
seated leg-press selectorized machine | 0.7 | 0.2-0.5 | cushioned commercial press
kettlebell display row | 0.8 | 0.1-0.3 | graduated cast-iron bell line
calibrated plate stack tree | 0.7 | 0.1-0.3 | centered plate-storage post
upright preacher curl bench | 0.55 | 0.1-0.3 | angled padded biceps station
Smith-machine guided barbell rig | 0.65 | 0.2-0.4 | fixed-rail lifting rack
hex-bar trap-deadlift station | 0.5 | 0.1-0.3 | hexagonal lifting frame
