# slot: bottom
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

mini skirt | 0.85 | 0.5-0.75 | wool,polyester,crepe
pleated mini skirt | 0.75 | 0.5-0.75 | chiffon,polyester
short A-line skirt | 0.75 | 0.5-0.75 | crepe,polyester,wool
wrap mini skirt | 0.65 | 0.5-0.75 | charmeuse,polyester
skater mini skirt | 0.60 | 0.5-0.7 | polyester,jersey
ruffled mini skirt | 0.55 | 0.5-0.75 | chiffon,polyester
box-pleat mini skirt | 0.50 | 0.5-0.75 | polyester,wool
short pencil skirt | 0.55 | 0.55-0.75 | crepe,polyester
ruched mini skirt | 0.50 | 0.5-0.75 | charmeuse,polyester
draped mini skirt | 0.45 | 0.55-0.75 | charmeuse,crepe
