# format: fabric_name | formality | family | weight

cotton | 0.3 | natural | light
denim | 0.3 | natural | medium
jersey | 0.3 | synthetic | light
satin | 0.6 | synthetic | light
silk | 0.7 | natural | light
chiffon | 0.5 | synthetic | light
mesh | 0.4 | synthetic | light
faux_leather | 0.5 | synthetic | medium
leather | 0.5 | natural | medium
suede | 0.5 | natural | medium
linen | 0.4 | natural | light
modal | 0.4 | synthetic | light
fleece | 0.3 | synthetic | medium
wool | 0.5 | natural | medium
polyester | 0.3 | synthetic | light
nylon | 0.3 | synthetic | light
canvas | 0.2 | natural | medium
metal | 0.5 | accessories | light
