# format: print_name | probability | compatible_slots | formality_min-formality_max
rhinestone scatter | 0.75 | top | 0.0-0.2
foil shimmer overlay | 0.65 | top | 0.0-0.2
spirit color-block | 0.70 | top,bottom | 0.0-0.2
school crest motif | 0.60 | top,outerwear | 0.0-0.2
patriotic stars | 0.50 | top,outerwear | 0.0-0.2
shoulder shimmer accent | 0.55 | top | 0.0-0.2
diagonal sash detail | 0.55 | top | 0.0-0.2
illusion mesh inset | 0.55 | top | 0.0-0.2
ombre fade | 0.55 | top | 0.0-0.2
themed appliques | 0.45 | top | 0.0-0.2
back keyhole cutout | 0.50 | top | 0.0-0.2
